algorithm,task,seed,wall_time,success_rate,return,env_samples
Squint,SO101LiftCan-v1,1,3.035236030998931,0.0,-15.58871841430664,0.0
Squint,SO101LiftCan-v1,1,118.55042090299685,0.0,21.567691802978516,100352.0
Squint,SO101LiftCan-v1,1,172.32605403399793,93.75,36.3590087890625,200704.0
Squint,SO101LiftCan-v1,1,226.23770645000332,93.75,37.157066345214844,300032.0
Squint,SO101LiftCan-v1,1,280.95558607400744,100.0,39.21250915527344,400384.0
Squint,SO101LiftCan-v1,1,335.6716064150023,93.75,37.5413932800293,500736.0
Squint,SO101LiftCan-v1,1,389.8914462460016,87.5,36.339229583740234,600064.0
Squint,SO101LiftCan-v1,1,444.4905652390007,100.0,39.177207946777344,700416.0
Squint,SO101LiftCan-v1,1,499.0100447980003,93.75,40.34001922607422,800768.0
Squint,SO101LiftCan-v1,1,553.1177401430032,100.0,40.03315734863281,900096.0
Squint,SO101LiftCan-v1,1,607.5254753620029,93.75,38.999820709228516,1000448.0
Squint,SO101LiftCan-v1,1,661.4275511829983,100.0,36.28845977783203,1100800.0
Squint,SO101LiftCan-v1,1,714.9471149150049,100.0,38.569366455078125,1200128.0
Squint,SO101LiftCan-v1,1,769.079262031999,100.0,40.168067932128906,1300480.0
Squint,SO101LiftCan-v1,1,823.3281834450027,93.75,40.00703430175781,1400832.0
Squint,SO101LiftCan-v1,1,876.9260420249993,93.75,38.64454650878906,1500160.0
Squint,SO101LiftCan-v1,2,2.389446457993472,0.0,-21.979259490966797,0.0
Squint,SO101LiftCan-v1,2,76.101056650994,12.5,15.857341766357422,100352.0
Squint,SO101LiftCan-v1,2,131.3972702089959,87.5,33.229042053222656,200704.0
Squint,SO101LiftCan-v1,2,185.4925748290043,100.0,37.312530517578125,300032.0
Squint,SO101LiftCan-v1,2,239.75759405199642,93.75,37.98888397216797,400384.0
Squint,SO101LiftCan-v1,2,293.827863989005,100.0,39.889862060546875,500736.0
Squint,SO101LiftCan-v1,2,347.73273126099957,100.0,35.60070037841797,600064.0
Squint,SO101LiftCan-v1,2,402.0372939709996,100.0,38.338035583496094,700416.0
Squint,SO101LiftCan-v1,2,456.4394862659974,93.75,37.596832275390625,800768.0
Squint,SO101LiftCan-v1,2,510.3670155169966,100.0,39.62913131713867,900096.0
Squint,SO101LiftCan-v1,2,564.711936492,100.0,40.63144302368164,1000448.0
Squint,SO101LiftCan-v1,2,618.1747892610001,100.0,38.807106018066406,1100800.0
Squint,SO101LiftCan-v1,2,671.6651293309988,100.0,40.26726531982422,1200128.0
Squint,SO101LiftCan-v1,2,725.8402625989984,93.75,37.76609802246094,1300480.0
Squint,SO101LiftCan-v1,2,779.9117838959937,93.75,37.575767517089844,1400832.0
Squint,SO101LiftCan-v1,2,833.292308308999,100.0,41.83314895629883,1500160.0
Squint,SO101LiftCan-v1,3,2.473223845998291,0.0,-15.380365371704102,0.0
Squint,SO101LiftCan-v1,3,75.66550071799429,6.25,19.00095558166504,100352.0
Squint,SO101LiftCan-v1,3,130.32646553698578,81.25,32.34382247924805,200704.0
Squint,SO101LiftCan-v1,3,184.31694731899188,87.5,35.37165069580078,300032.0
Squint,SO101LiftCan-v1,3,238.46422361398436,87.5,34.520877838134766,400384.0
Squint,SO101LiftCan-v1,3,292.9372792099821,100.0,39.56294250488281,500736.0
Squint,SO101LiftCan-v1,3,346.9163441719793,93.75,36.15904235839844,600064.0
Squint,SO101LiftCan-v1,3,401.04317265998543,100.0,38.3553352355957,700416.0
Squint,SO101LiftCan-v1,3,455.49139366498275,100.0,39.356781005859375,800768.0
Squint,SO101LiftCan-v1,3,509.5321502109873,100.0,39.24839782714844,900096.0
Squint,SO101LiftCan-v1,3,563.8661762959819,93.75,36.071556091308594,1000448.0
Squint,SO101LiftCan-v1,3,618.4907525779854,100.0,40.35169219970703,1100800.0
Squint,SO101LiftCan-v1,3,671.8570114379836,100.0,39.18986511230469,1200128.0
Squint,SO101LiftCan-v1,3,726.2149967749792,100.0,42.15251922607422,1300480.0
