algorithm,task,seed,wall_time,success_rate,return,env_samples
Squint,SO101PlaceCan-v1,1,3.261040463927202,0.0,-4.778983116149902,0.0
Squint,SO101PlaceCan-v1,1,121.07808719284367,0.0,9.567056655883789,100352.0
Squint,SO101PlaceCan-v1,1,177.97394578682724,0.0,19.39342498779297,200704.0
Squint,SO101PlaceCan-v1,1,234.1203016109066,50.0,28.438121795654297,300032.0
Squint,SO101PlaceCan-v1,1,290.2157288059825,87.5,33.908477783203125,400384.0
Squint,SO101PlaceCan-v1,1,346.23712201195303,100.0,38.87120819091797,500736.0
Squint,SO101PlaceCan-v1,1,401.4748053930234,100.0,38.219398498535156,600064.0
Squint,SO101PlaceCan-v1,1,457.2414554649731,100.0,35.167274475097656,700416.0
Squint,SO101PlaceCan-v1,1,513.0286029538838,100.0,38.82648468017578,800768.0
Squint,SO101PlaceCan-v1,1,568.2350408957573,81.25,32.269683837890625,900096.0
Squint,SO101PlaceCan-v1,1,624.1730307147373,75.0,29.79387855529785,1000448.0
Squint,SO101PlaceCan-v1,1,679.5616933967685,100.0,38.83186340332031,1100800.0
Squint,SO101PlaceCan-v1,1,734.4973516387399,93.75,35.6602783203125,1200128.0
Squint,SO101PlaceCan-v1,1,789.8946645797696,93.75,37.65961456298828,1300480.0
Squint,SO101PlaceCan-v1,1,845.6192112567369,100.0,39.29807662963867,1400832.0
Squint,SO101PlaceCan-v1,1,900.8231790065765,93.75,37.520057678222656,1500160.0
Squint,SO101PlaceCan-v1,2,2.821191455004737,0.0,-10.388598442077637,0.0
Squint,SO101PlaceCan-v1,2,78.25511225184891,0.0,11.963764190673828,100352.0
Squint,SO101PlaceCan-v1,2,134.14057062088978,0.0,20.043655395507812,200704.0
Squint,SO101PlaceCan-v1,2,189.3604112669127,18.75,25.066938400268555,300032.0
Squint,SO101PlaceCan-v1,2,245.40060200192966,81.25,31.533018112182617,400384.0
Squint,SO101PlaceCan-v1,2,301.157190102851,100.0,37.85830307006836,500736.0
Squint,SO101PlaceCan-v1,2,356.2363773578545,81.25,31.61127471923828,600064.0
Squint,SO101PlaceCan-v1,2,411.95924892276525,93.75,35.79723358154297,700416.0
Squint,SO101PlaceCan-v1,2,467.4477618087549,75.0,31.542821884155273,800768.0
Squint,SO101PlaceCan-v1,2,522.3326800417854,93.75,39.41094207763672,900096.0
Squint,SO101PlaceCan-v1,2,577.8430263188202,100.0,38.985652923583984,1000448.0
Squint,SO101PlaceCan-v1,2,633.0269657928729,100.0,39.14476776123047,1100800.0
Squint,SO101PlaceCan-v1,2,687.5177322687814,100.0,39.161376953125,1200128.0
Squint,SO101PlaceCan-v1,2,742.6177199276863,100.0,39.35376739501953,1300480.0
Squint,SO101PlaceCan-v1,2,797.9388655268122,100.0,39.95993423461914,1400832.0
Squint,SO101PlaceCan-v1,2,852.8718126808526,93.75,37.894840240478516,1500160.0
Squint,SO101PlaceCan-v1,3,2.989326537004672,0.0,-4.702635765075684,0.0
Squint,SO101PlaceCan-v1,3,77.71067222207785,0.0,13.83243465423584,100352.0
Squint,SO101PlaceCan-v1,3,133.31034068914596,0.0,18.456119537353516,200704.0
Squint,SO101PlaceCan-v1,3,188.41108020604588,6.25,22.54328155517578,300032.0
Squint,SO101PlaceCan-v1,3,244.19765703903977,81.25,34.28704833984375,400384.0
Squint,SO101PlaceCan-v1,3,299.7121628529858,87.5,34.16843032836914,500736.0
Squint,SO101PlaceCan-v1,3,354.5816188020399,100.0,38.71517562866211,600064.0
Squint,SO101PlaceCan-v1,3,409.9874339760281,93.75,36.54275131225586,700416.0
Squint,SO101PlaceCan-v1,3,465.3615338000236,100.0,38.23036575317383,800768.0
Squint,SO101PlaceCan-v1,3,520.1655943639344,100.0,38.80072021484375,900096.0
Squint,SO101PlaceCan-v1,3,575.5962329799077,87.5,32.239166259765625,1000448.0
Squint,SO101PlaceCan-v1,3,630.6579823649954,87.5,35.81513977050781,1100800.0
Squint,SO101PlaceCan-v1,3,685.130595244118,81.25,33.14936065673828,1200128.0
Squint,SO101PlaceCan-v1,3,740.0085129871732,100.0,39.246177673339844,1300480.0
Squint,SO101PlaceCan-v1,3,794.9381671020528,93.75,38.626609802246094,1400832.0
Squint,SO101PlaceCan-v1,3,849.443328864174,100.0,38.318817138671875,1500160.0
Squint,SO101PlaceCan-v1,5,2.548267927020788,0.0,-17.383644104003906,0.0
Squint,SO101PlaceCan-v1,5,77.5838330630213,0.0,14.218072891235352,100352.0
Squint,SO101PlaceCan-v1,5,136.2207376230508,12.5,27.079160690307617,200704.0
Squint,SO101PlaceCan-v1,5,191.83711700502317,75.0,30.6197509765625,300032.0
Squint,SO101PlaceCan-v1,5,248.0119910001522,87.5,37.40380096435547,400384.0
Squint,SO101PlaceCan-v1,5,303.8155540531734,93.75,37.44226837158203,500736.0
Squint,SO101PlaceCan-v1,5,358.7819717490347,100.0,37.65789794921875,600064.0
Squint,SO101PlaceCan-v1,5,414.29063479509205,100.0,37.301090240478516,700416.0
Squint,SO101PlaceCan-v1,5,469.68598143802956,93.75,34.99818420410156,800768.0
Squint,SO101PlaceCan-v1,5,524.5158077791566,100.0,36.858272552490234,900096.0
Squint,SO101PlaceCan-v1,5,579.9695346261142,100.0,38.152305603027344,1000448.0
Squint,SO101PlaceCan-v1,5,635.0689884171588,93.75,35.29058837890625,1100800.0
Squint,SO101PlaceCan-v1,5,689.654465438216,87.5,34.07746505737305,1200128.0
Squint,SO101PlaceCan-v1,5,744.7602602632251,100.0,40.464744567871094,1300480.0
Squint,SO101PlaceCan-v1,5,799.9658856792375,100.0,40.27888488769531,1400832.0
Squint,SO101PlaceCan-v1,5,854.8050483152037,93.75,37.415950775146484,1500160.0
Squint,SO101PlaceCan-v1,4,2.7564988271333277,0.0,-30.07503890991211,0.0
Squint,SO101PlaceCan-v1,4,78.39969530620147,0.0,11.168798446655273,100352.0
Squint,SO101PlaceCan-v1,4,135.56581639125943,6.25,22.514114379882812,200704.0
Squint,SO101PlaceCan-v1,4,191.76608602819033,81.25,32.85948181152344,300032.0
Squint,SO101PlaceCan-v1,4,247.68873578030616,93.75,36.045326232910156,400384.0
Squint,SO101PlaceCan-v1,4,303.7172925793566,87.5,33.06452941894531,500736.0
Squint,SO101PlaceCan-v1,4,358.89322146831546,100.0,37.790245056152344,600064.0
Squint,SO101PlaceCan-v1,4,414.5527184183011,100.0,37.909446716308594,700416.0
Squint,SO101PlaceCan-v1,4,470.2835122314282,93.75,36.47386169433594,800768.0
Squint,SO101PlaceCan-v1,4,525.0687339974102,87.5,33.772274017333984,900096.0
Squint,SO101PlaceCan-v1,4,580.4325803824468,87.5,35.267295837402344,1000448.0
Squint,SO101PlaceCan-v1,4,635.5854046124732,81.25,32.42577362060547,1100800.0
Squint,SO101PlaceCan-v1,4,690.1894901035121,93.75,34.2171630859375,1200128.0
Squint,SO101PlaceCan-v1,4,745.236770372605,93.75,36.48786163330078,1300480.0
Squint,SO101PlaceCan-v1,4,800.3614381566877,93.75,37.653282165527344,1400832.0
Squint,SO101PlaceCan-v1,4,854.8592085066484,100.0,39.187774658203125,1500160.0
SAC,SO101PlaceCan-v1,1,3.0546061749919318,0.0,-2.617177963256836,0.0
SAC,SO101PlaceCan-v1,1,105.55494361894671,0.0,12.389073371887207,100352.0
SAC,SO101PlaceCan-v1,1,155.6894416999421,0.0,16.228927612304688,200704.0
SAC,SO101PlaceCan-v1,1,205.79756259091664,0.0,18.317575454711914,300032.0
SAC,SO101PlaceCan-v1,1,256.13135026290547,0.0,20.67236328125,400384.0
SAC,SO101PlaceCan-v1,1,306.2007728178869,12.5,25.08780288696289,500736.0
SAC,SO101PlaceCan-v1,1,355.55630158493295,81.25,32.77577209472656,600064.0
SAC,SO101PlaceCan-v1,1,405.0414773100056,75.0,29.861682891845703,700416.0
SAC,SO101PlaceCan-v1,1,454.02059768902836,93.75,34.59073257446289,800768.0
SAC,SO101PlaceCan-v1,1,502.56133504398167,87.5,33.01463317871094,900096.0
SAC,SO101PlaceCan-v1,1,551.2738030659966,93.75,37.25749206542969,1000448.0
SAC,SO101PlaceCan-v1,1,600.2918404699885,93.75,36.42533874511719,1100800.0
SAC,SO101PlaceCan-v1,1,648.657147179998,100.0,36.34160614013672,1200128.0
SAC,SO101PlaceCan-v1,1,697.4389710699324,93.75,35.682430267333984,1300480.0
SAC,SO101PlaceCan-v1,1,745.8796374569065,100.0,37.392112731933594,1400832.0
SAC,SO101PlaceCan-v1,1,793.820824264898,93.75,35.1380615234375,1500160.0
SAC,SO101PlaceCan-v1,1,842.3411915288889,100.0,36.09856414794922,1600512.0
SAC,SO101PlaceCan-v1,1,891.3414700948633,100.0,38.44916534423828,1700864.0
SAC,SO101PlaceCan-v1,1,939.3587118288851,100.0,37.97434616088867,1800192.0
SAC,SO101PlaceCan-v1,1,972.4922926219297,93.75,35.362274169921875,1868800.0
SAC,SO101PlaceCan-v1,2,2.934784297947772,0.0,-16.891521453857422,0.0
SAC,SO101PlaceCan-v1,2,72.71269508695696,0.0,8.952573776245117,100352.0
SAC,SO101PlaceCan-v1,2,121.77580436092103,0.0,15.800498008728027,200704.0
SAC,SO101PlaceCan-v1,2,170.0748127368861,0.0,20.769289016723633,300032.0
SAC,SO101PlaceCan-v1,2,218.81856625387445,0.0,16.894134521484375,400384.0
SAC,SO101PlaceCan-v1,2,267.50124376488384,0.0,19.18505096435547,500736.0
SAC,SO101PlaceCan-v1,2,315.77398777892813,0.0,19.524559020996094,600064.0
SAC,SO101PlaceCan-v1,2,364.6799321428989,0.0,20.621627807617188,700416.0
SAC,SO101PlaceCan-v1,2,413.4600955718779,18.75,24.19798469543457,800768.0
SAC,SO101PlaceCan-v1,2,462.11487425287487,81.25,32.21202087402344,900096.0
SAC,SO101PlaceCan-v1,2,510.8111363858334,93.75,35.408843994140625,1000448.0
SAC,SO101PlaceCan-v1,2,559.3600126858801,100.0,37.62289047241211,1100800.0
SAC,SO101PlaceCan-v1,2,607.606084482919,81.25,32.82598876953125,1200128.0
SAC,SO101PlaceCan-v1,2,656.1484675478423,81.25,34.86389923095703,1300480.0
SAC,SO101PlaceCan-v1,2,704.7796770068817,87.5,35.393768310546875,1400832.0
SAC,SO101PlaceCan-v1,2,752.8184142418904,100.0,38.62397766113281,1500160.0
SAC,SO101PlaceCan-v1,2,801.3207964618341,93.75,35.785911560058594,1600512.0
SAC,SO101PlaceCan-v1,2,849.8958758548833,100.0,37.7386589050293,1700864.0
SAC,SO101PlaceCan-v1,2,897.8967488188064,100.0,38.15667724609375,1800192.0
SAC,SO101PlaceCan-v1,2,946.5831781058223,93.75,37.223793029785156,1900544.0
SAC,SO101PlaceCan-v1,2,972.3644653868396,93.75,37.36016082763672,1953792.0
SAC,SO101PlaceCan-v1,5,2.8522104589501396,0.0,-10.007438659667969,0.0
SAC,SO101PlaceCan-v1,5,73.21251508593559,0.0,12.561214447021484,100352.0
SAC,SO101PlaceCan-v1,5,123.16558993392391,0.0,15.209417343139648,200704.0
SAC,SO101PlaceCan-v1,5,172.75115361396456,0.0,17.976394653320312,300032.0
SAC,SO101PlaceCan-v1,5,222.60796031891368,0.0,19.367835998535156,400384.0
SAC,SO101PlaceCan-v1,5,272.212732110871,0.0,18.655776977539062,500736.0
SAC,SO101PlaceCan-v1,5,321.6211204509018,6.25,21.878250122070312,600064.0
SAC,SO101PlaceCan-v1,5,371.71451473789057,37.5,28.969703674316406,700416.0
SAC,SO101PlaceCan-v1,5,421.22863481589593,68.75,29.41403579711914,800768.0
SAC,SO101PlaceCan-v1,5,470.0188005238888,87.5,33.83705139160156,900096.0
