algorithm,task,seed,wall_time,success_rate,return,env_samples
Squint,SO101PlaceCube-v1,1,3.051739139998972,0.0,-4.837890625,0.0
Squint,SO101PlaceCube-v1,1,119.59006849599973,0.0,9.557761192321777,100352.0
Squint,SO101PlaceCube-v1,1,175.10129327300092,0.0,18.859525680541992,200704.0
Squint,SO101PlaceCube-v1,1,230.1779076180028,43.75,32.22449493408203,300032.0
Squint,SO101PlaceCube-v1,1,285.5392150350017,93.75,35.584014892578125,400384.0
Squint,SO101PlaceCube-v1,1,341.07383287400444,100.0,38.928680419921875,500736.0
Squint,SO101PlaceCube-v1,1,395.9373789910096,93.75,38.529808044433594,600064.0
Squint,SO101PlaceCube-v1,1,451.37462001600215,100.0,38.18000793457031,700416.0
Squint,SO101PlaceCube-v1,1,506.61376510099944,100.0,38.64570999145508,800768.0
Squint,SO101PlaceCube-v1,1,561.2400736650015,93.75,34.77448272705078,900096.0
Squint,SO101PlaceCube-v1,1,616.3858184130004,100.0,40.4525260925293,1000448.0
Squint,SO101PlaceCube-v1,1,671.2388075089984,93.75,36.02418518066406,1100800.0
Squint,SO101PlaceCube-v1,1,725.6206414539993,93.75,36.606224060058594,1200128.0
Squint,SO101PlaceCube-v1,1,780.313461896003,100.0,40.88655471801758,1300480.0
Squint,SO101PlaceCube-v1,1,835.225951446002,100.0,39.54198455810547,1400832.0
Squint,SO101PlaceCube-v1,1,889.3747392130026,93.75,35.6961784362793,1500160.0
Squint,SO101PlaceCube-v1,2,2.733266941002512,0.0,-8.907546043395996,0.0
Squint,SO101PlaceCube-v1,2,76.99737724500301,0.0,9.442768096923828,100352.0
Squint,SO101PlaceCube-v1,2,133.0552131680015,0.0,19.36540412902832,200704.0
Squint,SO101PlaceCube-v1,2,188.22116534900124,6.25,18.171409606933594,300032.0
Squint,SO101PlaceCube-v1,2,243.59359173999837,81.25,33.682350158691406,400384.0
Squint,SO101PlaceCube-v1,2,298.875385978994,100.0,38.93906784057617,500736.0
Squint,SO101PlaceCube-v1,2,353.77213465599925,100.0,39.764976501464844,600064.0
Squint,SO101PlaceCube-v1,2,409.02316824100126,81.25,31.296157836914062,700416.0
Squint,SO101PlaceCube-v1,2,464.2782346610038,100.0,38.74725341796875,800768.0
Squint,SO101PlaceCube-v1,2,518.8716358640086,100.0,37.332298278808594,900096.0
Squint,SO101PlaceCube-v1,2,573.8197665260086,100.0,39.64149475097656,1000448.0
Squint,SO101PlaceCube-v1,2,628.654090202006,100.0,40.906776428222656,1100800.0
Squint,SO101PlaceCube-v1,2,682.8430857620042,100.0,38.54880905151367,1200128.0
Squint,SO101PlaceCube-v1,2,737.9508486840059,100.0,38.55609893798828,1300480.0
Squint,SO101PlaceCube-v1,2,792.7797747029981,100.0,40.912925720214844,1400832.0
Squint,SO101PlaceCube-v1,2,847.1769370050024,93.75,38.17262649536133,1500160.0
Squint,SO101PlaceCube-v1,3,2.700495648998185,0.0,-4.795998573303223,0.0
Squint,SO101PlaceCube-v1,3,76.7221610120032,0.0,10.674215316772461,100352.0
Squint,SO101PlaceCube-v1,3,132.58250599300663,0.0,19.391725540161133,200704.0
Squint,SO101PlaceCube-v1,3,187.66207094600395,81.25,30.99228858947754,300032.0
Squint,SO101PlaceCube-v1,3,242.95488534700416,87.5,33.99005126953125,400384.0
Squint,SO101PlaceCube-v1,3,298.1867684690005,100.0,38.70996856689453,500736.0
Squint,SO101PlaceCube-v1,3,352.91726934599865,100.0,38.884029388427734,600064.0
Squint,SO101PlaceCube-v1,3,408.11812631400244,100.0,39.86852264404297,700416.0
Squint,SO101PlaceCube-v1,3,463.1557068730035,100.0,39.27314758300781,800768.0
Squint,SO101PlaceCube-v1,3,517.7162280800039,100.0,39.452579498291016,900096.0
Squint,SO101PlaceCube-v1,3,572.6596176950043,100.0,39.85845947265625,1000448.0
Squint,SO101PlaceCube-v1,3,627.182630318006,100.0,38.5003662109375,1100800.0
Squint,SO101PlaceCube-v1,3,681.3055186520069,100.0,38.313232421875,1200128.0
Squint,SO101PlaceCube-v1,3,736.0825444720103,100.0,39.780067443847656,1300480.0
Squint,SO101PlaceCube-v1,3,790.8588555760143,100.0,40.66357421875,1400832.0
Squint,SO101PlaceCube-v1,3,845.0836462930092,100.0,41.36545181274414,1500160.0
Squint,SO101PlaceCube-v1,4,2.697628280009667,0.0,-30.100862503051758,0.0
Squint,SO101PlaceCube-v1,4,77.03478249200998,0.0,9.368518829345703,100352.0
Squint,SO101PlaceCube-v1,4,132.56702585500898,0.0,13.593143463134766,200704.0
Squint,SO101PlaceCube-v1,4,187.3716971380054,31.25,27.254268646240234,300032.0
Squint,SO101PlaceCube-v1,4,242.67683887601015,75.0,30.182281494140625,400384.0
Squint,SO101PlaceCube-v1,4,297.8618555170033,100.0,36.988380432128906,500736.0
Squint,SO101PlaceCube-v1,4,352.4090849370041,93.75,33.821868896484375,600064.0
Squint,SO101PlaceCube-v1,4,407.4463610919993,100.0,37.91874313354492,700416.0
Squint,SO101PlaceCube-v1,4,462.6309588269942,100.0,37.59757614135742,800768.0
Squint,SO101PlaceCube-v1,4,517.1693518710017,100.0,38.519927978515625,900096.0
Squint,SO101PlaceCube-v1,4,572.234213742995,100.0,38.26400375366211,1000448.0
Squint,SO101PlaceCube-v1,4,627.0061334129932,100.0,38.4024658203125,1100800.0
Squint,SO101PlaceCube-v1,4,681.146947700996,100.0,37.79267120361328,1200128.0
Squint,SO101PlaceCube-v1,4,736.0440457129953,100.0,38.02347946166992,1300480.0
Squint,SO101PlaceCube-v1,4,790.7429373510022,100.0,39.29190444946289,1400832.0
Squint,SO101PlaceCube-v1,4,844.8907613510019,100.0,36.20166778564453,1500160.0
Squint,SO101PlaceCube-v1,5,2.677878194008372,0.0,-17.339740753173828,0.0
Squint,SO101PlaceCube-v1,5,76.91339059800521,0.0,11.352619171142578,100352.0
Squint,SO101PlaceCube-v1,5,132.1611632490094,0.0,20.072601318359375,200704.0
Squint,SO101PlaceCube-v1,5,186.76374548200693,100.0,33.07152557373047,300032.0
Squint,SO101PlaceCube-v1,5,241.82319928300421,100.0,37.922576904296875,400384.0
Squint,SO101PlaceCube-v1,5,296.79884193101316,87.5,33.655452728271484,500736.0
Squint,SO101PlaceCube-v1,5,351.1006619240143,100.0,38.938636779785156,600064.0
Squint,SO101PlaceCube-v1,5,406.1695879690087,100.0,37.22792434692383,700416.0
Squint,SO101PlaceCube-v1,5,461.0988617020048,100.0,39.476470947265625,800768.0
Squint,SO101PlaceCube-v1,5,515.5917425660009,93.75,36.137027740478516,900096.0
Squint,SO101PlaceCube-v1,5,570.6617156470093,100.0,39.396751403808594,1000448.0
Squint,SO101PlaceCube-v1,5,625.4310659280018,93.75,35.782920837402344,1100800.0
Squint,SO101PlaceCube-v1,5,679.6395703110102,100.0,37.231781005859375,1200128.0
Squint,SO101PlaceCube-v1,5,734.3380317400079,87.5,35.10523223876953,1300480.0
Squint,SO101PlaceCube-v1,5,789.2202329799984,100.0,39.79954147338867,1400832.0
Squint,SO101PlaceCube-v1,5,843.2771972089977,100.0,38.436275482177734,1500160.0
SAC,SO101PlaceCube-v1,1,3.264399721985683,0.0,-2.8859307765960693,0.0
SAC,SO101PlaceCube-v1,1,107.22227760599344,0.0,4.958418846130371,100352.0
SAC,SO101PlaceCube-v1,1,157.56344729097327,0.0,18.41865348815918,200704.0
SAC,SO101PlaceCube-v1,1,207.72498381198966,0.0,20.24384307861328,300032.0
