algorithm,task,seed,wall_time,success_rate,return,env_samples
Squint,SO101StackCan-v1,1,3.1241034760023467,0.0,-4.909229278564453,0.0
Squint,SO101StackCan-v1,1,118.89280521299952,0.0,10.317867279052734,100352.0
Squint,SO101StackCan-v1,1,174.33150937400205,0.0,20.68569564819336,200704.0
Squint,SO101StackCan-v1,1,228.79319456700614,0.0,21.498645782470703,300032.0
Squint,SO101StackCan-v1,1,283.70065152501047,0.0,24.380462646484375,400384.0
Squint,SO101StackCan-v1,1,338.6654230820059,12.5,25.221227645874023,500736.0
Squint,SO101StackCan-v1,1,392.9402430540067,25.0,28.3548526763916,600064.0
Squint,SO101StackCan-v1,1,447.6560375570116,75.0,33.65791320800781,700416.0
Squint,SO101StackCan-v1,1,502.4366135070086,43.75,30.663497924804688,800768.0
Squint,SO101StackCan-v1,1,556.6395895050082,75.0,33.35822296142578,900096.0
Squint,SO101StackCan-v1,1,611.1710043220155,87.5,34.72010803222656,1000448.0
Squint,SO101StackCan-v1,1,665.6894352880117,93.75,37.84596252441406,1100800.0
Squint,SO101StackCan-v1,1,719.4302948470213,81.25,32.94061279296875,1200128.0
Squint,SO101StackCan-v1,1,773.8317432130207,93.75,38.425933837890625,1300480.0
Squint,SO101StackCan-v1,1,828.9759557870129,87.5,36.65731430053711,1400832.0
Squint,SO101StackCan-v1,1,882.9066676720104,93.75,38.78694534301758,1500160.0
Squint,SO101StackCan-v1,2,2.5317630909994477,0.0,-9.427677154541016,0.0
Squint,SO101StackCan-v1,2,76.40174005800509,0.0,10.768723487854004,100352.0
Squint,SO101StackCan-v1,2,131.23892932900344,0.0,19.907085418701172,200704.0
Squint,SO101StackCan-v1,2,185.25525470200228,0.0,21.92486000061035,300032.0
Squint,SO101StackCan-v1,2,240.12562297299883,0.0,24.26839828491211,400384.0
Squint,SO101StackCan-v1,2,294.8676995909991,6.25,24.340755462646484,500736.0
Squint,SO101StackCan-v1,2,349.0404580549948,31.25,26.596370697021484,600064.0
Squint,SO101StackCan-v1,2,403.4742568169968,43.75,28.992080688476562,700416.0
Squint,SO101StackCan-v1,2,458.02378613599285,68.75,30.744918823242188,800768.0
Squint,SO101StackCan-v1,2,511.9453646119946,75.0,32.78034210205078,900096.0
Squint,SO101StackCan-v1,2,566.3625037419915,75.0,33.22399139404297,1000448.0
Squint,SO101StackCan-v1,2,620.3653932749949,50.0,25.894559860229492,1100800.0
Squint,SO101StackCan-v1,2,673.8071632540014,75.0,32.020416259765625,1200128.0
Squint,SO101StackCan-v1,2,727.8424849940056,68.75,30.90992546081543,1300480.0
Squint,SO101StackCan-v1,2,782.0822993220063,68.75,31.92951011657715,1400832.0
Squint,SO101StackCan-v1,2,835.7654023290015,75.0,32.85784912109375,1500160.0
Squint,SO101StackCan-v1,3,2.764708195994899,0.0,-4.7870330810546875,0.0
Squint,SO101StackCan-v1,3,76.34305658000085,0.0,10.610888481140137,100352.0
Squint,SO101StackCan-v1,3,131.0384781400062,0.0,19.66916275024414,200704.0
Squint,SO101StackCan-v1,3,185.02931873200578,0.0,21.107593536376953,300032.0
